GPS-Point,Veg-Type,MorphDyn,Age-Pin,Sub-1,Sub-2,Sub-3,Sub-4,VegDens-1,VegDens-2,VegDens-3,VegDens-4,VegHeight-1,VegHeight-2,VegHeight-3,VegHeight-4,Pnt-live,Pnt-dead,Pnt-Vit,Pnt-Shoots
887,Grauerlengeb《ch,3,10,5,85,5,5,5,50,40,0,1,15,150,-,160,130,4,5
888,Grauerlengeb《ch,3,10,5,85,5,5,5,50,40,0,1,15,150,-,140,130,4,2
889,Grauerlengeb《ch,3,9,0,80,15,5,2,30,25,0,1,20,300,-,110,140,4,5
890,Grauerlengeb《ch,3,9,0,80,15,5,2,30,25,0,1,20,300,-,230,130,5,9
891,Grauerlengeb《ch,3,9,0,80,15,5,2,30,25,0,1,20,300,-,225,160,5,9
892,Grauerlengeb《ch,3,9,0,80,15,5,2,30,25,0,1,20,300,-,90,30,3,2
893,Grauerlengeb《ch,3,9,0,80,15,5,4,30,50,0,1,25,350,-,70,60,3,1
894,Grauerlengeb《ch,3,9,0,80,15,5,2,20,25,0,1,25,350,-,100,100,4,7
895,Grauerlengeb《ch,3,9,0,80,15,5,2,20,25,0,1,25,350,-,90,140,3,4
896,Grauerlengeb《ch,3,10,5,85,10,0,1,45,25,0,1,25,450,-,170,170,4,3
897,Grauerlengeb《ch,3,8,5,85,10,0,1,35,40,0,1,25,400,-,-,180,6,9
898,Grauerlengeb《ch,4,11,0,85,10,5,1,50,20,0,1,30,400,-,170,160,5,3
899,Grauerlengeb《ch,4,11,0,90,5,5,1,90,60,0,1,40,400,-,100,150,5,1
900,Grauerlengeb《ch,4,11,0,90,5,5,1,90,60,0,1,40,400,-,150,-,4,-
901,Grauerlengeb《ch,4,11,0,90,5,5,1,90,60,0,1,40,400,-,90,-,3,-
