GPS-Point,Veg-Type,MorphDyn,Age-Pin,Sub-1,Sub-2,Sub-3,Sub-4,VegDens-1,VegDens-2,VegDens-3,VegDens-4,VegHeight-1,VegHeight-2,VegHeight-3,VegHeight-4,Pnt-live,Pnt-dead,Pnt-Vit,Pnt-Shoots
836,Weidengebüsch,4,10,0,75,15,10,15,10,70,0,1,5,400,NA,NA,130,6,9
837,Grauerlengebüsch,3,8,5,55,30,10,10,30,20,0,1,30,250,NA,NA,140,6,9
838,Grauerlengebüsch,3,8,5,45,35,15,10,20,40,0,1,30,250,NA,180,130,4,7
839,Grauerlengebüsch,3,7,10,50,20,20,3,15,20,0,1,15,200,NA,155,70,4,5
840,Grauerlengebüsch,3,7,10,50,20,20,3,15,20,0,1,15,200,NA,150,140,4,3
841,Erlen-Weidengebüsch,3,8,10,60,15,15,5,20,30,0,1,20,300,NA,35,30,2,1
842,Erlen-Weidengebüsch,3,8,10,60,15,15,5,20,30,0,1,20,300,NA,45,40,3,2
843,Erlen-Weidengebüsch,3,8,10,60,15,15,5,20,30,0,1,20,300,NA,60,40,3,1
844,Erlen-Weidengebüsch,3,8,10,60,15,15,5,20,30,0,1,20,300,NA,45,50,3,2
845,Erlen-Weidengebüsch,3,9,10,60,15,15,5,40,50,0,1,20,300,NA,30,NA,2,NA
846,Pionier,2,2,0,30,60,10,3,5,0,0,1,15,NA,NA,NA,60,6,6
847,Grauerlengebüsch,3,9,0,20,70,10,7,30,10,0,1,10,150,NA,25,25,2,4
848,Erlen-Weidengebüsch,3,9,0,30,60,10,4,25,20,0,1,15,200,NA,90,55,3,3
